name	full_name	id	description	language	size	watchers	forks	stargazers_count
NoahGameFrame	ketoo/NoahGameFrame	19843809	A fast, scalable, distributed game server framework for C++, include actor library, network library,can be used as a  real time multiplayer game engine ( MMO RPG ), which support C#/Lua script/ Unity3d, and plan to support Cocos2dx, FlashAir client access.	C	1296434	573	187	573
Sparrow-Framework	PrimaryFeather/Sparrow-Framework	1275916	The Open Source Game Engine for iOS	Objective-C	13672	570	186	570
panda3d	panda3d/panda3d	13212165	Powerful, mature open-source cross-platform game engine for Python and C++, developed by Disney and CMU	C++	240006	536	187	536
Citrus-Engine	DaVikingCode/Citrus-Engine	5315612	Modern AS3 Game Engine	ActionScript	454746	522	256	522
akihabara	kesiev/akihabara	620862	A game engine for making classic arcade style games using Javascript and HTML5. We're starting moving on a re-organized repo here: https://github.com/akihabara	JavaScript	42081	520	56	520
panda.js-engine	ekelokorpi/panda.js-engine	16146683	Panda Engine: 2D HTML5 game engine for mobile and desktop	JavaScript	47392	503	94	503
UnitySteer	ricardojmendez/UnitySteer	244328	Steering, obstacle avoidance and path following behaviors for the Unity Game Engine	C#	1606	502	156	502
Corange	orangeduck/Corange	1697403	Pure C Game Engine	C	204796	495	61	495
helm	z0w0/helm	11231382	A functionally reactive game engine, with headgear to protect you from the headache of game development provided.	Haskell	602	477	61	477
RealtimeMultiplayerNodeJs	onedayitwillmake/RealtimeMultiplayerNodeJs	1646714	Realtime Mutliplayer Game Engine using Node.js / websockets for HTML5 that uses a client-server approach in which the clients send only sampled input to the server	JavaScript	5056	445	89	445
Nu	bryanedds/Nu	11965691	Repository hosting the open-source Nu Game Engine and related projects.	F#	793903	419	46	419
solarus	christopho/solarus	3407135	Zelda-like 2D game engine	C++	78206	405	106	405
Effect-Games	jhuckaby/Effect-Games	1549505	Classic DHTML JavaScript Game Engine and Web Based IDE	JavaScript	12263	388	96	388
AlloyGameEngine	AlloyTeam/AlloyGameEngine	6005548	made game making super easy	JavaScript	3331	374	104	374
qiciengine	qiciengine/qiciengine	47888260	A free JavaScript game engine library with a web-based comprehensive suite of toolset for making HTML5 games. http://www.qiciengine.com	null	382382	370	56	370
KlayGE	gongminmin/KlayGE	32620049	KlayGE is a cross-platform open source game engine with plugin-based architecture.	C++	60244	366	94	366
mage	magefree/mage	4158448	Magic Another Game Engine	Java	448782	362	240	362
Spout	SpoutDev/Spout	1688262	Open source, multithreaded, voxel game engine and platform, written in Java.	Java	61058	360	127	360
LumixEngine	nem0/LumixEngine	14590125	3D Game Engine	C++	532520	357	51	357
nd2d	lrrrs/nd2d	1482998	A Flash Molehill (Stage3D) GPU accelerated 2D game engine	ActionScript	11971	345	68	345
amethyst	amethyst/amethyst	48364554	Data-oriented game engine written in Rust	Rust	14725	334	28	334
Dash	Circular-Studios/Dash	15827539	A free and open 3D game engine written in D.	D	36327	322	57	322
HTML5GameEngines	dannagle/HTML5GameEngines	20664165	Source code from the book HTML5 Game Engines	Objective-C	40095	303	40	303
PuzzleScript	increpare/PuzzleScript	13189252	Open Source HTML5 Puzzle Game Engine	JavaScript	9361	303	63	303
MBTileParser	MosheBerman/MBTileParser	5283215	MBTileParser is a game engine written using pure UIKit in the days before SpriteKit.	Objective-C	23973	292	39	292
engo	EngoEngine/engo	26521386	Engo is an open-source 2D game engine written in Go.	Go	9434	291	33	291
Helium	HeliumProject/Helium	962121	C++ Frameworks and Game Engine	C++	104737	284	54	284
luxe	underscorediscovery/luxe	10870200	A cross platform game engine written in haxe	Haxe	115390	282	62	282
fifengine	fifengine/fifengine	8756342	FIFE is a multi-platform isometric game engine	C++	130994	272	44	272
grid-sdk	Planimeter/grid-sdk	25402523	The Grid SDK - A 2D game engine built on LÖVE	Lua	30387	271	25	271
Monocle-Engine	zaphire/Monocle-Engine	1479651	Open source game engine for lush 2D. Inspired by Aquaria, FlashPunk and Unity.	C	20365	253	41	253
kivent	kivy/kivent	9707708	KivEnt is an entity-based game engine for Kivy	Python	58875	247	36	247
GarageEngine	vova616/GarageEngine	5326767	Game engine written in Go (golang).	Go	416	239	19	239
LGame	cping/LGame	6753822	This is free 2d game development framework(Java Game Engine), support JavaSE/Android/IOS/WP7/HTML5/PSM/Linux/MAC/Windows and Default support Ripple protocol	Java	452553	235	115	235
chocolatier	alexkehayias/chocolatier	16061670	WIP ClojureScript game/engine using Pixi.js for rendering.	Clojure	6985	232	20	232
UnityOSC	jorgegarcia/UnityOSC	1208953	Open Sound Control (OSC) C# classes interface for the Unity3d game engine	C#	1590	232	74	232
gkEngine	gameknife/gkEngine	11399412	A cross-platform game engine with cutting-edge real-time rendering tech & fantastic speed.                                                  	C++	14953	228	84	228
super-animation-samples	raymondlu/super-animation-samples	5959878	A New Animation Solution based on SWF for Cocos2d Game Engine	C++	334862	219	109	219
SuperSpriteKit	JohnSundell/SuperSpriteKit	16465720	Extensions to Apple's SpriteKit game engine	Objective-C	1038	215	15	215
RenderPipeline	tobspr/RenderPipeline	21068958	Physically Based Shading and Deferred Rendering for the Panda3D game engine	Python	425818	215	27	215
crown	taylor001/crown	5321315	The flexible game engine.	C	150046	211	24	211
bdx	GoranM/bdx	27062675	A cross-platform game engine for Blender 3D	Java	12406	190	34	190
EntityJS	bendangelo/EntityJS	2253508	HTML5 entity-component game engine	JavaScript	2526	184	22	184
aroma	leafo/aroma	333999	a game engine: lua, opengl es 2.0, native client	C	1494	184	16	184
gamekit	gamekit-developers/gamekit	22812058	See http://gamekit.org or http://gamekit.googlecode.com A basic cross-platform 3D game engine around Lua, Bullet, .blend files, Ogre or Irrlicht.	C++	335246	184	55	184
ige	Irrelon/ige	5040057	The Isogenic Game Engine	JavaScript	57400	181	59	181
PyDark	SirFroweey/PyDark	26162682	PyDark is a 2D and Online Multiplayer video game engine written on-top of Python and PyGame.	Python	102	176	13	176
Dagon	Senscape/Dagon	2646235	Dagon is a game engine especially tailored for adventure games and based on open technologies. Featuring a simple scripting language, blazing fast performance and high portability supporting Windows, Linux and Mac OS X, the project aims to become a reference of the genre.	C	417284	176	25	176
GameFinal	woyaofacai/GameFinal	17025202	next-gen 3D game engine	C++	227519	174	48	174
KoboldKit	KoboldKit/KoboldKit	12592611	Kobold Kit is the game engine built on and extending Apple's Sprite Kit Framework.	Objective-C	27063	171	31	171
TheRenderEngine	bfattori/TheRenderEngine	1549324	This project is no longer maintained. The Render Engine is a cross-browser, open source game engine written entirely in JavaScript. Designed from the ground up to be extremely flexible, it boasts an extensive API and uses the newest features of today's modern browsers.	JavaScript	7473	171	34	171
mtasa-blue	multitheftauto/mtasa-blue	32611596	Multi Theft Auto is an open-source game engine that adds full multiplayer network play functionality to Rockstar North's Grand Theft Auto game series, in which this functionality is not originally found.	C++	665456	163	65	163
dava.engine	dava/dava.engine	1968812	Game Engine	C	3886587	162	53	162
ProceduralToolkit	Syomus/ProceduralToolkit	25112594	Collection of instruments for development of procedural generation systems in Unity game engine	C#	402638	162	23	162
Advanced-Tiled-Loader	Kadoba/Advanced-Tiled-Loader	2229838	Imports Tiled maps into Lua for the LÖVE game engine. (NO LONGER IN DEVELOPMENT)	Lua	3596	161	25	161
chem	andrewrk/chem	4723501	2d canvas-based rapid prototyping game engine	JavaScript	5682	161	4	161
falltergeist	falltergeist/falltergeist	6838493	Opensource crossplatform Fallout 2™ game engine writen in C++ and SDL. Current version: 0.3.0	C++	6903	157	34	157
scage	dunnololda/scage	3463640	game engine written in Scala	Scala	963	147	19	147
Punity	martincohen/Punity	46677962	A tiny game engine in C.	C	830	145	8	145
cyo	danielstern/cyo	13492683	100% HTML Game Engine	CSS	4213	144	12	144
joy.js	endel/joy.js	7117833	A Joyful 2D HTML5 Game Engine.	JavaScript	4331	142	20	142
LambdaHack	LambdaHack/LambdaHack	956452	Haskell game engine library for roguelike dungeon crawlers	Haskell	20664	134	18	134
qfusion	Qfusion/qfusion	10675052	Source code for Quake 2-derived game engine	C	325222	133	43	133
finalengine	kamibu/finalengine	2113933	A WebGL game engine	JavaScript	12689	131	8	131
amulet	ianmaclarty/amulet	42996241	lua game engine	C++	37904	126	6	126
gladius	gladiusjs/gladius	4449420	Client-side 3D game engine for the web	JavaScript	2604	126	15	126
Citrus-Engine-Examples	DaVikingCode/Citrus-Engine-Examples	6405661	Examples for the Citrus Engine, AS3 Game Engine	ActionScript	78372	125	188	125
frozen	iceddev/frozen	5753208	Frozen is an open-source HTML5 game engine delivering ease-of-use, rapid development through tooling and modularity.	JavaScript	6955	123	27	123
tyranoscript	ShikemokuMK/tyranoscript	9273056	novel game engine for Browser, iOS, Android , etc 	JavaScript	21777	121	40	121
WiEngine	stubma/WiEngine	6005211	C++ implemented, cocos2d like cross-platform game engine	C	38178	120	100	120
3DEngineCpp	BennyQBD/3DEngineCpp	12337554	It's like the 3D Game Engine, except in C++	C	13235	118	41	118
linotype	barelyknown/linotype	6421987	Letterpress game engine for Ruby	Ruby	2359	114	6	114
KickJS	mortennobel/KickJS	2373919	A WebGL game engine for modern web-browsers.	JavaScript	19863	113	27	113
spinel	cadwallion/spinel	6678258	A free and open source game engine using mruby and C/C++	C	780	113	3	113
node-poker	mjhbell/node-poker	3198742	Texas Holdem game engine	JavaScript	219	111	55	111
voxeliq	bonesoul/voxeliq	2844459	voxeliq is an open source block-based game engine implementation developed with C#	C#	77882	111	42	111
ChilliSource	ChilliWorks/ChilliSource	24335898	An open source, cross-platform game engine designed for indie developers.	C++	227698	110	16	110
IsoHill-Game-Engine	jadbox/IsoHill-Game-Engine	2700182	IsoHill is a new isometric engine for Flash Player 11 [molehill] built on top of the open 2D framework Starling. Features: Plugins - engine-wide modifications, Includes a TMX [CVS export] parser, Components - dynamic logic can be added and removed from IsoSprites, Virtually unlimited layers, Anti-aliasing of isometric tiles, deterministic framework, Mipmapping, and under BSD license	ActionScript	4723	109	26	109
metoo	fztcjjl/metoo	36173956	A game engine based on skynet	C	7231	109	70	109
TwoPointFive	phoboslab/TwoPointFive	22336861	3D View Plugin for the Impact HTML5 Game Engine	JavaScript	668	102	13	102
megaglest-source	MegaGlest/megaglest-source	14698558	MegaGlest real-time strategy game engine (cross-platform, 3-d)	C++	51969	101	32	101
bladecoder-adventure-engine	bladecoder/bladecoder-adventure-engine	18995295	Classic point and click adventure game engine and editor	Java	70296	98	16	98
pulse	onmodulus/pulse	2463210	HTML5 & JavaScript Game Engine	JavaScript	171684	97	18	97
piston-examples	PistonDevelopers/piston-examples	21298530	A collection of examples using the Piston game engine	Rust	2545	95	55	95
gamemachine	gamemachine/gamemachine	3678385	Multiplayer game engine	Ruby	556613	94	23	94
engine	azul3d/engine	52764959	Azul3D - A 3D game engine written in Go!	C	792	94	8	94
DeltaEngine	DeltaEngine/DeltaEngine	6498746	Open Source Multiplatform Game Engine, C# OpenGL Version (custom wrapper) including the Editor	C#	4813	94	25	94
Plasma	H-uru/Plasma	1579856	Cyan Worlds's Plasma game engine	C++	39083	92	36	92
Griddy	nickbreslin/Griddy	892851	Grid library for the Unity game engine	C#	418	92	22	92
yae	nondev/yae	25915873	Windows/Linux/Mac/Android/iOS/Ouya game engine for MoonScript, in MoonScript.	MoonScript	68593	91	5	91
2D-Game-Engine	vanZeben/2D-Game-Engine	6567166	A 2D Game engine built with only native Java libraries. Part of a tutorial series @ http://vanZeben.ca/java/2d_game_dev	Java	261	89	72	89
ra2	OpenRA/ra2	47920913	A Red Alert 2 mod for the OpenRA game engine	C#	6448	88	34	88
trafficcone	j03m/trafficcone	3127980	html 5 2d + 2.5d (isometric) game engine	JavaScript	29578	88	12	88
KinectSDK-Unity3D_Interface_Plugin	adevine1618/KinectSDK-Unity3D_Interface_Plugin	2244811	This is a wrapper that allows the user to access Microsoft's Kinect SDK v.1.7 data from inside the free Unity3D game engine. This is a workaround for the problem of Mono not supporting .NET 4.	C#	86942	88	37	88
engine	StarEngine/engine	18967730	Crossplatform C++11 2D Game Engine for Desktop and Mobile games	C++	54252	87	36	87
Firmament	martamius/Firmament	10805178	Firmament Game Engine	Haxe	19014	86	25	86
artemis	gemserk/artemis	1465768	artemis framework (Components Based Game Engine) (Custom modifications in branch gemserk)	Java	417	86	26	86
ProceduralMesh	mortennobel/ProceduralMesh	1103612	Simple procedural mesh generation for the Unity 3 game engine	C#	149	86	25	86
Excalibur	excaliburjs/Excalibur	7457728	A simple HTML5 Canvas game engine written in TypeScript	TypeScript	47918	85	11	85
Dusk-Engine	GymbylCoding/Dusk-Engine	7943978	Dusk is a fully-featured, open-source game engine for Corona SDK.	Lua	3894	83	34	83
Laro	AlloyTeamDev/Laro	2655219	a game engine based on html5 canvas	JavaScript	23180	82	43	82
rust-2048	coeuvre/rust-2048	19941072	A 2048 clone with Piston game engine	Rust	357	80	16	80
VLS2D	reveriejake/VLS2D	29481805	VLS2D is a 2D light creation system for use with the Unity game engine!	C#	1562	79	20	79
Clarity	Dissimulate/Clarity	14575927	A simple, customisable and scriptable platform game engine.	JavaScript	98	77	28	77
craftyjstut	starmelt/craftyjstut	1805045	This is a Tutorial for the Crafty JavaScript Game Engine	JavaScript	2180	76	11	76
darlingjs	darlingjs/darlingjs	9519190	Component & entity based javascript game engine. With dependency injections, and modular architecture.	JavaScript	3444	76	6	76
spacepuppy-unity-framework	lordofduct/spacepuppy-unity-framework	34041012	A framework of reusable objects with the Unity game engine version 5.x.	C#	38684	75	19	75
Genbeta-Dev-Engine	genbetadev/Genbeta-Dev-Engine	13901859	Desarrollo de un Game Engine básico sobre C++ y SFML 2.1	C++	1903	74	41	74
Enclave-Phaser-Template	EnclaveGames/Enclave-Phaser-Template	48431764	Enclave Phaser Template - a mobile template for HTML5 games written using the Phaser game engine.	JavaScript	1416	74	26	74
jgen	angrycoding/jgen	5882415	JavaScript Game Engine	JavaScript	7590	73	11	73
GammaJS	Royce/GammaJS	1193087	GammaJS: A WebGL platformer game engine	JavaScript	4720	73	6	73
diggy	richtaur/diggy	758127	DHTML Game Engine	JavaScript	316	71	12	71
Nori	elmindreda/Nori	1997016	A simple game engine	C++	44629	71	6	71
TD-Godot-Games	TutorialDoctor/TD-Godot-Games	43176521	A collection of games made with the Godot game engine	HTML	307106	71	20	71
Unity-Beat-Detection	allanpichardo/Unity-Beat-Detection	30501529	Musical beat detection and audio spectrum analysis for use with the Unity game engine.	C#	9	71	19	71
Cubby	MineScroll/Cubby	49010902	Voxel-based Game Engine for MineScroll (based on AlwayGeeky's Vox)	C++	74988	71	5	71
ouzel	elnormous/ouzel	48319858	C++ 2D game engine for Windows, OS X, Linux, iOS, tvOS and Android	C++	15165	71	8	71
Protogame	RedpointGames/Protogame	5695369	Protogame is a powerful cross-platform game engine for C#, built on top of MonoGame.	C#	22162	70	7	70
Miners	Charged/Miners	1689237	An Game Engine and Minecraft Classic Client	D	3988	69	10	69
pygamii	carlosmaniero/pygamii	47847892	ASCII Game Engine write in Python	Python	3670	69	3	69
soya2d	MrSoya/soya2d	29660222	Soya2D is a web interactive animation(game) engine for modern web browsers	JavaScript	9566	68	19	68
MiniMOBA	erickpassos/MiniMOBA	12907657	Mini MOBA complete project for the Unity 3D game engine	C#	32988	67	52	67
anima-engine	anima-engine/anima-engine	50508100	The quirky game engine	Rust	123	66	3	66
PixelSpriteGenerator-Unity	Shogan/PixelSpriteGenerator-Unity	48873183	A port of the PixelSpriteGenerator to C# for use with the Unity3D game engine	C#	25	66	8	66
AtomicExamples	AtomicGameEngine/AtomicExamples	28552923	Examples for the Atomic Game Engine	JavaScript	115681	64	24	64
Runtime	openaphid/Runtime	4126273	The core runtime of OpenAphid-Engine, a cross platform 2D game engine based on JavaScript and OpenGL ES.	C	76229	64	14	64
quick2d-engine	dualface/quick2d-engine	57012549	quick2d - The 2D Game Engine based on cocos2d-x	C++	7326	63	15	63
ga	kittykatattack/ga	21740919	The world's tiniest, cutest and funnest game engine	JavaScript	30598	63	9	63
HGE2D	I3ck/HGE2D	50943151	2D game engine written in Haskell	Haskell	114	63	4	63
play_phaser	playif/play_phaser	21606087	A Dart port for Phaser 2D game engine.	Dart	60899	62	15	62
backbone-game-engine	martindrapeau/backbone-game-engine	18656295	HTML5 Game Engine using Backbone.	JavaScript	1618	61	22	61
alephone	Aleph-One-Marathon/alephone	39701264	Aleph One is the open source continuation of Bungie’s Marathon 2 game engine.	C++	19005	61	12	61
hydra	aduros/hydra	996577	An HTML5 game engine for the many faces of mobile WebKit.	JavaScript	10682	60	13	60
hadoom	ocharles/hadoom	24198823	A little Doom-like 2.5 game engine	Haskell	6170	60	2	60
marshmallow_h	gamaral/marshmallow_h	1540144	The only game engine that tastes better slightly burned!	C	9712	59	14	59
TauEngine	ianterrell/TauEngine	2781564	2D game engine built on iOS 5's GLKit	Objective-C	155	59	7	59
haxor-engine	haxorplatform/haxor-engine	21256983	Haxe free cross platform 3D Game Engine	Haxe	152804	59	6	59
BobEngine	Bobbyloujo/BobEngine	24069121	A 2D game engine for Android	Java	27478	58	12	58
ducttape-engine	ducttape/ducttape-engine	1749084	Ducttape Engine - A universal game engine	C++	45645	57	22	57
free-game	fumieval/free-game	6517471	The free game engine	Haskell	26144	55	10	55
JSGame	thomas-alrek/JSGame	57211530	JavaScript + Canvas 2D game engine	JavaScript	703	55	3	55
Pixelizer	johanp/Pixelizer	3685387	A component based game engine for AS3. Master version is currently 0.4.3. Please note, the dev branch is currently under heavy development for 0.5 and should be considered unstable. There will be a few breaking changes.	ActionScript	574	55	12	55
Pjs-2D-Game-Engine	Pomax/Pjs-2D-Game-Engine	3510800	Processing.js 2D Game Engine	JavaScript	21509	54	36	54
dg	zho7611/dg	15996828	DalgiEngine - Sweet 3D Game Engine	C++	5849	54	18	54
Roll-a-ball-FSharp	Thorium/Roll-a-ball-FSharp	29443854	Unity 3d game engine tutorial	F#	323	54	3	54
impact-tween	nefD/impact-tween	1370462	Tweening plugin for the ImpactJS game engine	JavaScript	116	53	9	53
Hatchit	thirddegree/Hatchit	48081064	An Open Source 3D Game Engine written in C++	CMake	11906	53	11	53
SilenceEngine	sriharshachilakapati/SilenceEngine	27004894	A cross platform 2D / 3D Java Game Engine (Desktop / Html5 / Android)	Java	87021	53	18	53
Dreamengine	Inateno/Dreamengine	11327740	A powerfull JS 2D Game Engine cross-compatible and easily extendable	JavaScript	15771	53	8	53
dynadungeons	akien-mga/dynadungeons	35509227	Bomberman clone using the awesome open source Godot game engine	GDScript	5049	53	7	53
game-engines	sourceful/game-engines	21884775	HTML5 Game Engines	null	140	52	4	52
AsciiEngine	RandyGaul/AsciiEngine	4877964	Game engine written in C to create Ascii art games within the Windows console.	C	544	52	12	52
FreeFT	nadult/FreeFT	7958800	Isometric action game engine	C++	2711	50	7	50
ExampleEngine	ianterrell/ExampleEngine	2216284	An example 2d game engine built on GLKit	Objective-C	847	50	9	50
nxengine-libretro	libretro/nxengine-libretro	2639398	Port of NxEngine to the libretro API. NXEngine is a Cave Story game engine clone 	C	7594	49	57	49
oni	SamHellawell/oni	13576151	AS3 game engine used for http://www.oniworld.co.uk/	ActionScript	6505	49	6	49
forsaken	ForsakenX/forsaken	7450429	Forsaken game engine	C	16757	48	9	48
cpctelera	lronaldo/cpctelera	21516536	Astonishingly fast Amstrad CPC game engine for C developers	C	50425	46	14	46
webvr	playcanvas/webvr	21908825	WebVR support for PlayCanvas WebGL Game Engine	JavaScript	269	45	9	45
pomdog	mogemimi/pomdog	14086999	An open source game engine for C++14 :dog: :video_game:	C++	8706	45	4	45
cubes	kpreid/cubes	2368303	Block-based WebGL game engine where the blocks are made out of blocks. Trying not to be yet another Minecraft clone.	JavaScript	3254	45	4	45
CitruxEngine	alamboley/CitruxEngine	3860085	2D Haxe NME Game Engine	HaXe	15009	44	10	44
TESUnity	ColeDeanShepherd/TESUnity	60037989	World viewers for Elder Scrolls games in the Unity game engine.	C#	987	44	5	44
Flixel-Haxe	domrein/Flixel-Haxe	1004950	Port of Flixel game engine to haXe with a focus on iOS development	HaXe	346	44	4	44
darkhammer	septag/darkhammer	17981117	darkHAMMER is a lightweight, open-source, multiplatform game engine. written in C (C99) language, supports python and C# bindings and lua scripts. Runs on windows and linux	C	6684	44	5	44
impact-astar-for-entities	hurik/impact-astar-for-entities	3649150	This plugin for the Impact Game Engine and added pathfinding to the entities. It also has a basic path following function, a example for path drawing function and a debug panel for showing the path of all entities. 	JavaScript	404	44	10	44
SimpleGameEngine	C0deH4cker/SimpleGameEngine	15983319	Simple C++ game engine influenced by XNA	C	474	43	12	43
pure2d	gree/pure2d	19476099	Pure2D Native Android Game Engine	Java	42115	43	16	43
PlainText	arendjr/PlainText	4215598	Text-based MUD game engine	JavaScript	15539	43	11	43
impact-box2d	phoboslab/impact-box2d	1345693	Box2D Plugin for the Impact Game Engine	JavaScript	183	43	13	43
dinodeck	dinodeck/dinodeck	57168857	A simple game engine with goals of rapid development and easy distribution.	C	24196	43	7	43
EgretGameEngine	yicaoyimuys/EgretGameEngine	27056451	A game client engine in Egret	TypeScript	73816	42	36	42
bacon	aholkner/bacon	11870549	Python 2D game engine	C	6912	42	4	42
ND2Dx	NoRabbit/ND2Dx	17528331	2D GPU Accelerated Game Engine for Flash Stage3D	ActionScript	8760	42	10	42
pixel.js	rastating/pixel.js	13048684	A simple and flexible HTML5 and JavaScript powered game engine.	JavaScript	2225	42	4	42
motion-game	HipByte/motion-game	48756029	Cross-platform game engine for RubyMotion	C++	248472	41	12	41
unity3d-extensions	jbruening/unity3d-extensions	7446860	extension and utility methods for the Unity game engine	C#	229	41	9	41
MightyEngine	TheMightyFingers/MightyEngine	13249461	HTML5 cross platform game engine.	JavaScript	22596	40	26	40
Flax-js	longyangxi/Flax-js	17653287	Game engine based on cocos2d html5 and Flash	JavaScript	1964	40	17	40
Unity-TaskManager	krockot/Unity-TaskManager	1943851	An tiny, improved coroutine API for the Unity game engine.	C#	108	40	24	40
impact-crater-core	impact-crater/impact-crater-core	14007039	NodeJS authoritative server for the Impact.js game engine. 	JavaScript	2147	40	4	40
Blitwizard	JonasT/Blitwizard	3824608	UNMAINTAINED - Cross-platform game engine (Windows, Linux, Mac, Android) with physics, threaded texture loading, multiple backends (OpenGL, DirectX, ...) and modern streamed audio.	C	24735	40	10	40
FLAG	flagamengine/FLAG	16493300	HTML5 Game Engine	JavaScript	474	39	11	39
dreamengine	afflicto/dreamengine	8638517	html5 canvas game engine	JavaScript	8720	39	15	39
TERRA-Engine	Relfos/TERRA-Engine	27311225	Cross platform game engine written in Object Pascal.	Pascal	71942	39	24	39
FlappyBird	V-Play/FlappyBird	16705004	Source code of Flappy Bird version created with V-Play Game Engine	QML	2011	39	50	39
impactConnect	cdreier/impactConnect	2972035	nodeJS plugin for impactjs game engine	JavaScript	108	39	10	39
AGE	Another-Game-Engine/AGE	13702782	AGE - C++11 OpenGL4 Game Engine	C++	177285	39	4	39
Clockwork.js	arcadiogarcia/Clockwork.js	33894631	A lightweight modular JavaScript game engine	JavaScript	7600	39	2	39
cleven	afainer/cleven	44600528	Cleven is an experimental game engine with volume graphics written in Common Lisp.	Common Lisp	1524	38	2	38
sathra-2d	mmoczkowski/sathra-2d	18381840	An open source 2D Game Engine for Android.	HTML	6010	38	0	38
stratagus	Wargus/stratagus	46500717	The Stratagus strategy game engine	C++	379849	37	15	37
Bitzz	tiagojsalmeida/Bitzz	3422901	Bitzz was built with HTML5 and Javascript using the open source game engine MelonJS and Scoreoid for HighScore.	JavaScript	12310	37	15	37
FriceEngine	icela/FriceEngine	65617268	An easy, light, native game engine running on JVM	Kotlin	460	37	3	37
hermes	rdlester/hermes	1379319	A game engine for rapid world prototyping in Processing/Java:	Java	8999	37	1	37
ammo	BlackBulletIV/ammo	1679273	A simple, flexible organisational library for use with the LÖVE game engine.	Lua	139	37	0	37
cetech	cyberegoorg/cetech	40583922	Super hyper ultra mega cool easy simple opensource game engine that makes the world a better place. (yes, it is only joke =P)	C#	242362	37	1	37
LOVE-Adventure-Game-Engine	Jasoco/LOVE-Adventure-Game-Engine	809827	An unfinished adventure game engine in the style of Zelda and modern real-time battle RPG's. To be finished sometime in 2015. Just in time for flying cars, power laces and self-drying jackets. Built with the awesome Lua-powered LÖVE 2D game development tool.	Lua	26270	36	2	36
fuji	TurkeyMan/fuji	4235428	Mount Fuji Game Engine	C	69877	36	6	36
CCSpriteWithHue	alex314/CCSpriteWithHue	14105264	Hue rotation for sprites in cocos2d game engine	Objective-C	1536	36	17	36
fluxus	nebogeo/fluxus	6088070	a cross platform 3D game engine for livecoding worlds into existence	C++	19540	36	5	36
moon	polyfox/moon	11409007	2D game engine, with a mruby scripting system.	C++	10042	36	3	36
love-imgui	slages/love-imgui	63331069	imgui module for the LÖVE game engine	C++	602	35	7	35
wootook	wootook/wootook	1858716	Wootook is a web-based MMO strategy game engine able to manage several gameplays	PHP	12039	35	15	35
gorc	jdmclark/gorc	10290074	Early-development Jedi Knight: Dark Forces 2 game engine recreation	C++	2885	35	3	35
aether3d	bioglaze/aether3d	31967246	Aether3D Game Engine	C	3710	34	2	34
swift-engine	thelukester92/swift-engine	20608959	An entity-component-system game engine built in the Swift programming language.	Swift	1700	34	6	34
Director	boneheadmed/Director	1263585	A Director plugin to be used with the Impact javascript game engine.	JavaScript	106	34	6	34
